ObjectId("5ade3a3c24dc391b1a368f41"),Senior Data Engineer,Trulia,San Francisco, CA,5 Years of proven working experience as a data engineer. Technical expertise regarding data models, database design development, data mining and segmentation...,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CZTNjLMuBQEc4UwMDLf68nYWD4vZp_o6pW13OpR78fsUbLF7akhdL4HTVuMU9ZbeK6p2rL4A4W-nNfc3zdHY1wmLw0SfOZ-Cv_RvbZspyyZlGpyyreBIbJ6BJR4f3pkSDKOoykvXxo0ZYCVfgfccVs4bCYqXV_SUifC95Z5f9JIKfr3yRT9Y7AKyDYnU-uK0XJOIm43U7-9Lr8mWMGocqNa8yWCVOu7Igr8RqzJK2i80TydF9Ifs3B2haAw8NkPRgsjDtOPtAKomuc2WZ8pKTMoUUw5r0Dp6DhwExDaGwRSuTVqSdX79vyvpSzgjVVkLXuwWCjTOW-_QGoPughMQJ2vEsrZMziB35lG5T-VbpGfJV6bm-R_3QvsdJHSigRJLptV62YR3-SIanHVK619m2DzmltyhkI5yMtieTHxBqNb8Yy5_wfac-f_rO39dYRNPHUnOhSoLZ0qNBYWdJ2JqWAZQCkdwZ6fAbSahUNfBu0Plt7Re0MbOW9XzEEeRqqiDFyoadUk0RqrTuNP6oSnfag&vjs=3&p=2&sk=&fvj=0,""2018-04-23T19:55:39.442Z""
ObjectId("5ade3a3c24dc391b1a368f42"),Data Engineer Consultant (Python & Hive / Presto),Anectotal LLC,Menlo Park, CA,This data engineering role consultant opportunity involved building and maintaining data engineering pipelines, code, data quality checks, third-party...,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B_IS6ir5FrYavPze7aoLnU7zcz7d-LAMBsb1QoM195dn7fH2JARgTdy4Cu4gAKlQ5whXFrLbeZodUInoULY5IaPbYLy4bk__Fo9nPwiQzhhQb4Ho7_Jixl7ITWorQv43XdYd_JZuO0HJuBLtc1E5EvKo7sqmT0ohxm4b4cFAv379VqLo4JBw7OBiSqXfxX0pYnBNGxVpKNq_R9S0OFphY_whIQsxoC549gGYXy8wPc5Jnq0p81jD_fjNdKdod1IlMTp1Ya78by2ITqfD87LBKBmUDMARzq8hUUC-OC9u7pwZC5vPiS34Uvf2bh4hxpcCWcDcJMSFkHgxyFBwgL76aFgFgXrLQqnrALNoQ0GVjcsXYVlKmwb726Mk32ahr9DIUoJ7PxyqXrpSrIVnBAwVgAu08JYmw5B6-ElKPUUrfMr9Nh1IGwQ9ah-8alk4vfTORtg9NG2ivMAJs2Ea6qIFliXKWhZ8bYS1rSMAosqoodOw==&vjs=3&p=3&sk=&fvj=1,""2018-04-23T19:55:39.442Z""
ObjectId("5ade3a3c24dc391b1a368f43"),Senior Data Engineer,LeadGenius,Berkeley, CA 94704,Data sources that have defined schemas) and unstructured data (e.g. Experience with processing large volume of data and production data pipeline....,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CwF5rjk5CA2ZsTDgD9KPpRbJhWYLPEfmyK9jLd9Vg37I3QNjUBvmFz7kziXk0DztlfdSxZ6JVdkIiaFiCTcxDpEkIPy4l9KpV8R3D-ApWxbz1R2jVOpg-sdee97CAE-cqVtiKmXnDysfmYzpNI7WsyHh3zGqvtzR4YWjKLltloI5daCuL-kGblrjmqEUr9XrwDf9MB6s0UV8E5XVkhJ-sQlS1XzhYISZC_aTyd_mETDU0l1qoqp5nxg6KWaDjKek3ZWha5afLxRUcaW3NgOd6STjcBbr9BTD0gcrCzD7dzJvze6Qty_Yuyu3-WlBfFUxfVwgxVk3BDsJefoHVLoAWRfCZRPEQq635jnMqIFxqqq3YgrvRmI1CRJU8PslRJLWbEcaotegCMDiqdctPsvaxyIOXrnvUnkY6Lc21nTu1Jrg8IonziC6obBJoHYdnLRFnBC1v9RZYlzQ==&vjs=3&p=4&sk=&fvj=1,""2018-04-23T19:55:39.442Z""
ObjectId("5ade3a3c24dc391b1a368f44"),Data Engineer,Noodle.ai,San Francisco, CA,As a Data Engineer, you will collaborate with the Noodle Client Service team, Data Scientists, SW Engineers, and UX Designers, as well as industry-specific...,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D3UvD5kBSgX9r9tFJCI4OL-41vvae__bcle4uMSq30h36AcPbHjl9bcVWQE4zSRT4mBKbnyz7JFMFYhUj0kXZ58e05-vsBd-e8fJnSv8flsCIkDG5v876yHPiw2CcNHi6mA3eLooZdKMYg1pQHezVEA1c8EB3SDBJTdq9xVE-OFYnCzXQThdl7DSRyOCw54QbD5K5PZjzs99nVaLOoDQaTA4lr94jsGUJITDOV-HoCs87Qv9WAD1BP4-ajz4RHFovM_PQ6BLQjMLyN9GEq9iQvcANHDLFMbwaCh-5VFD3wIu-4lyMx84NaxnbMv9nNDSurpFXGkSzvSNc4xDr5GwdilQ0klD_WaPUhuYHF8Uzv7FeulxfLJIkrBLEA86iH24e_JRVEmPi7y40ZEK6FgzY1G-aF7E6Byi7S1g7bCrZQNqRrifspAD_xG3qJ44sUvfuLRDRAqgZVnqqvGpKE-aVeaX5NQpvNro1-MOah-qZ0bzktywJjmNxa9y5FfDQ8PGI06XPZVPOBN3LI8ZtOmh49hJVM2vFGekQ=&vjs=3&p=5&sk=&fvj=0,""2018-04-23T19:55:39.442Z""
ObjectId("5ade3a3c24dc391b1a368f45"),Data Engineer,Shipt,San Francisco, CA,Shipt has a wide variety of data partners and as our data volumes. Data Engineering at Shipt primarily focuses on retailer catalog and general product data for...,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BrUkoy11B0xVs2L4uULRM6t4ce6LwAMdd2e8YwqDTf-OBLt97k1sinKUtkBlhN2LSEoLTiqwYUJrbvII2i8qfqzra7tq0ZRPcnsja4JSqdY3Uc_eDVt8H7OcTbqmpOLEOeax7iqqaRbhWzgAQvIlGf_Xzx-aUPXFK5CLsjNh69S0Kkj9W9_m3kVOvSKeX6n_j4XUC7A_ZdsYPs5O_XI3vzOiyjfFZ5Md4mPJc9rb48621ydsVIVqefb-B_eEHqMtntGvxzsR8umaq-gX12lNAQT419psa92utOsEah2ZOMkAna5VBLQmf5DNy6gay7AMK2VxRQPu9l2rW_vunSdRvLd39PJWeEgoRO2f9mxkjugh8f4H-8Y20LaB1lY4f7KsjA7I_eE8OVYvLHgH6RASkkdgtgdjOfsH7Xbv6iBWni82d7TYKKGRV4KwEz_FfozCaZv_Cxrb9G7PiEB3kk3yg2&vjs=3&p=6&sk=&fvj=1,""2018-04-23T19:55:39.442Z""
ObjectId("5ade3a3c24dc391b1a368f46"),Data Engineer,Segment,San Francisco, CA 94103 (South Of Market area),Own and optimize Segment’s AWS internal data infrastructure to run the data warehouse and the data pipelines you build effectively and efficiently....,https://www.indeed.com/rc/clk?jk=08d518766397fed1&fccid=7f8a3848ff617b22&vjs=3,""2018-04-23T19:55:39.442Z""
ObjectId("5ade3a3c24dc391b1a368f47"),Data Engineer, SF,MLB.com,San Francisco, CA,Data Engineer, Baseball Data. The Data Engineer position offers the opportunity to collaborate with other world-class engineers, product developers, and...,https://www.indeed.com/rc/clk?jk=ec9dfa7da3a6e5ca&fccid=e07842a8df6e60cc&vjs=3,""2018-04-23T19:55:39.442Z""
ObjectId("5ade3a3c24dc391b1a368f48"),Data Engineer,Twitter,San Francisco, CA 94103 (South Of Market area),Our tools enable ML engineers to leverage Twitter data to improve their models. Streaming data processing solutions (e.g....,https://www.indeed.com/rc/clk?jk=a9b8abfbec4c7284&fccid=1ed502f6da51dc36&vjs=3,""2018-04-23T19:55:39.442Z""
ObjectId("5ade3a3c24dc391b1a368f49"),Data Engineer,Esha IT,San Francisco, CA,Data Engineer Position*. .- People who can articulate Data Quality, Data Cleansing, Data modeling, Data Visualization.- Able to articulate approach to handling...,https://www.indeed.com/rc/clk?jk=938e900dc99f2504&fccid=bc1c9d9d782c6b91&vjs=3,""2018-04-23T19:55:39.442Z""
ObjectId("5ade3a3c24dc391b1a368f4a"),Data Engineer, Stream Platform,Pinterest,San Francisco, CA 94103 (South Of Market area),We’re looking for a seasoned Big Data engineer to help us build and scale the next generation of near-realtime data processing and warehousing platform....,https://www.indeed.com/rc/clk?jk=e4fd09b1afd8c5aa&fccid=7a3824693ee1074b&vjs=3,""2018-04-23T19:55:39.442Z""
ObjectId("5ade3a3c24dc391b1a368f4b"),Data Engineer, Logging Platform,Pinterest,San Francisco, CA 94103 (South Of Market area),As a Data Engineer on the Logging Platform team you'll work on large Kafka deployment to enable the rest of the company to collect log messages and derive...,https://www.indeed.com/company/Esha-IT/jobs/Data-Engineer-e2835e3a99596a23?fccid=cd924e7ed28aee15&vjs=3,""2018-04-23T19:55:39.442Z""
ObjectId("5ade3a3c24dc391b1a368f4c"),Data Engineer,hiQ LABS,San Francisco, CA 94105 (Financial District area),Work closely with our data engineers to solve challenging technical problems. Data ETL experience. Enhance and maintain our data infrastructure....,https://www.indeed.com/rc/clk?jk=271063358db6173a&fccid=43014b1412e0a7b6&vjs=3,""2018-04-23T19:55:39.442Z""
ObjectId("5ade3a3c24dc391b1a368f4d"),Data Engineering Intern,Castlight Health,San Francisco, CA 94105 (Financial District area),Interest in data and data engineering. As an intern, you will have the unique opportunity to work with a team of experienced Data Engineers and Data Scientists...,https://www.indeed.com/rc/clk?jk=c6ea0e4bc901380b&fccid=43014b1412e0a7b6&vjs=3,""2018-04-23T19:55:39.442Z""
ObjectId("5ade3a3c24dc391b1a368f4e"),Senior Data Engineer,Blue Owl,San Francisco, CA,You've built streaming data applications using open source tools. You are a solid software engineer Ideal, but not required:....,https://www.indeed.com/rc/clk?jk=e44713823cb4d1df&fccid=bf6fb2c6c76aae45&vjs=3,""2018-04-23T19:55:39.442Z""
ObjectId("5ade3a3c24dc391b1a368f4f"),React Engineer Hustler at Trustwork,Trustwork,San Francisco, CA,Trustwork is looking for a highly-motivated Engineer Hustler to grow with our team. Extend Trustwork’s data pipeline through the collection, storage, processing...,https://www.indeed.com/rc/clk?jk=58326435846d9917&fccid=aafdb4fe9e36b658&vjs=3,""2018-04-23T19:55:39.442Z""
